,timepoint,cloudcover,seeing,transparency,lifted_index,rh2m,wind10m,temp2m,prec_type
0,3,9,4,8,15,15,"{'direction': 'N', 'speed': 3}",-1,none
1,6,9,4,8,15,14,"{'direction': 'N', 'speed': 3}",-1,snow
2,9,9,4,8,15,14,"{'direction': 'N', 'speed': 3}",-3,snow
3,12,9,3,8,15,14,"{'direction': 'N', 'speed': 3}",-2,snow
4,15,8,3,4,15,13,"{'direction': 'N', 'speed': 3}",-1,none
5,18,7,3,3,15,12,"{'direction': 'N', 'speed': 3}",-1,none
6,21,2,5,4,15,12,"{'direction': 'N', 'speed': 3}",-2,none
7,24,2,6,5,15,14,"{'direction': 'N', 'speed': 2}",-5,none
8,27,2,6,5,15,14,"{'direction': 'N', 'speed': 2}",-7,none
9,30,2,6,7,15,14,"{'direction': 'NE', 'speed': 2}",-9,none
10,33,6,6,6,15,14,"{'direction': 'NE', 'speed': 2}",-9,none
11,36,4,4,6,15,13,"{'direction': 'E', 'speed': 2}",-5,none
12,39,2,3,3,15,10,"{'direction': 'E', 'speed': 2}",-2,none
13,42,3,3,3,15,10,"{'direction': 'E', 'speed': 2}",-1,none
14,45,3,6,3,15,12,"{'direction': 'E', 'speed': 2}",-3,none
15,48,2,6,6,15,14,"{'direction': 'E', 'speed': 2}",-5,none
16,51,2,6,6,15,14,"{'direction': 'E', 'speed': 2}",-6,none
17,54,3,6,8,15,14,"{'direction': 'E', 'speed': 2}",-8,none
18,57,7,6,8,15,15,"{'direction': 'SE', 'speed': 2}",-9,none
19,60,7,3,7,15,13,"{'direction': 'SE', 'speed': 2}",-6,none
20,63,3,3,4,15,12,"{'direction': 'SE', 'speed': 2}",-1,none
21,66,5,3,4,15,13,"{'direction': 'SE', 'speed': 2}",-1,none
22,69,8,5,4,15,13,"{'direction': 'SE', 'speed': 2}",-1,none
23,72,8,5,4,15,13,"{'direction': 'SW', 'speed': 2}",-1,none
